"version_ID","master_ID","publication","publication_year","local_path","DR_group_ID","locality","country","lat","long","mean_date_BP","date_range","SNP_hits","assessment"
"I12141_published","I12141","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I12141.bam","Pakistan_Katelai_IA_published","Swat Valley, Katelai","Pakistan",34.76584167,72.34913333,2850,"1000-800 BCE",190382,"PASS"
"PN12.SG","PN12","CassidyNature2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Cassidy_Nature_2020/PN12-A-WEX1.trimmed25bp25q.sorted.grouped.duprm.indel.bam","Ireland_MN.SG","Ireland, Clare, Poulnabrone","Ireland",53.04866,-9.140049,5383,"3523-3341 calBCE (4629±41 BP, UBA-39198)",673264,"PASS (literature)"
"SEC002","I18968","MarcusNatureCommunications2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Marcus_NatCom_2020/SEC002.A0101.TF.bam","Italy_Sardinia_LateC","Sennori, SS, Serra Crabiles, t.3","Italy",40.786192,8.595815,4352,"2470-2306 calBCE (3917±19 BP, MAMS-38290)",921909,"PASS (literature)"
"I1876","I1876","LipsonNature2017","2017","/media/ydiekman/external2/Documents/__MAINZ/data/Lipson_Nature_2017/BAM/I1876.1240k.bam","Hungary_EN_Starcevo_1","Alsonyek-Bataszek, Mérnöki telep","Hungary",46.208562,18.700047,7541,"5656-5536 calBCE (6677±27 BP, MAMS-11928)",212907,"PASS"
"DA205.SG","DA205","DamgaardNature2018","2018","/media/ydiekman/external2/Documents/__MAINZ/data/Damgaard_Nature_2018/DA205.sort.rmdup.realign.md.bam","Kazakhstan_Karakhanid_o_daughter.I12112.SG","Tian Shan, Central Steppe, Butakty","Kazakhstan",43.2025,76.98166667,1000,"800-1100 CE",424419,"PASS (literature)"
"I12149_published","I12149","NarasimhanPattersonScience2019","2019","/media/ydiekman/external2/Documents/__MAINZ/data/Narasimhan_Science_2019/I12149.bam","Pakistan_Katelai_IA_published","Swat Valley, Katelai","Pakistan",34.76584167,72.34913333,2850,"1000-800 BCE",620955,"PASS (Xcontam=[0.005,0.013])"
"DA207.SG","DA207","DamgaardNature2018","2018","/media/ydiekman/external2/Documents/__MAINZ/data/Damgaard_Nature_2018/DA207.sort.rmdup.realign.md.bam","Kazakhstan_His.SG","Tian Shan, Central Steppe","Kazakhstan",43.06861111,68.24888889,200,"1650-1850 CE",55909,"PASS (literature)"
"VK118.SG","VK118","MargaryanWillerslevNature2020","2020","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"I2783","I2783","LipsonNature2017","2017","/media/ydiekman/external2/Documents/__MAINZ/data/Lipson_Nature_2017/BAM/I2783.1240k.bam","Hungary_Hunyadihalom_MCHA","Nemesnádudvar-Papföld, M9/7 lh.","Hungary",46.334774,19.053945,6010,"4228-3962 calBCE (5230±40 BP, Poz-83638)",648306,"PASS"
"I2785","I2785","LipsonNature2017","2017","/media/ydiekman/external2/Documents/__MAINZ/data/Lipson_Nature_2017/BAM/I2785.1240k.bam","Hungary_LateC_Baden","Vámosgyörk MHAT telep","Hungary",47.684976,19.918434,5175,"3600-2850 BCE",572729,"PASS"
"I2787","I2787","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I2787_1240k.bam","Hungary_EBA_BellBeaker","Szigetszentmiklós, Felső Ürge-hegyi dűlő","Hungary",47.383224,19.020252,4254,"2456-2200 calBCE (3840±35 BP, Poz-83640)",669314,"PASS"
"I2786","I2786","OlaldeNature2018","2018","/media/ydiekman/external1/Documents/__MAINZ/data/Olalde_Nature_2018/BAM/I2786_1240k.bam","Hungary_EBA_BellBeaker","Szigetszentmiklós, Felső Ürge-hegyi dűlő","Hungary",47.383224,19.020252,4270,"2457-2204 calBCE (3850±35 BP, Poz-83639)",795354,"PASS (mtcontam=[0.938,0.956])"
"I2789","I2789","LipsonNature2017","2017","/media/ydiekman/external2/Documents/__MAINZ/data/Lipson_Nature_2017/BAM/I2789.1240k.bam","Hungary_LateC_Protoboleraz","Abony, Turjányos-dűlő","Hungary",47.189141,20.004795,5650,"3800-3600 BCE",564162,"PASS"
"I2788","I2788","LipsonNature2017","2017","/media/ydiekman/external2/Documents/__MAINZ/data/Lipson_Nature_2017/BAM/I2788.1240k.bam","Hungary_LateC_Protoboleraz","Abony, Turjányos-dűlő","Hungary",47.189141,20.004795,5685,"3910-3644 calBCE (4960±40 BP, VERA-5402)",822177,"PASS"
"M95.SG","M95","GonzalesFortesCurrentBiology2017","2017","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"M96.SG","M96","GonzalesFortesCurrentBiology2017","2017","glob_finds_no_path","","","",NA,NA,NA,"",NA,""
"ALA002","ALA002","SkourtaniontiCell2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Skourtanioti_Cell_2020/ALA002.1240K.bam","Turkey_Alalakh_MLBA","Hatay Province, Tell Atchana/Alalakh","Turkey",36.23778,36.38472,3388,"1499-1398 calBCE (3158±22 BP, MAMS-33676)",719109,"PASS (Xcontam=[0.006,0.014])"
"ALA001","ALA001","SkourtaniontiCell2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Skourtanioti_Cell_2020/ALA001.1240K.bam","Turkey_Alalakh_MLBA","Hatay Province, Tell Atchana/Alalakh","Turkey",36.23778,36.38472,3378,"1498-1322 calBCE (3151±24 BP, MAMS-33675)",716856,"QUESTIONABLE (Xcontam=[0.012,0.024])"
"ALA004","ALA004","SkourtaniontiCell2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Skourtanioti_Cell_2020/ALA004.1240K.bam","Turkey_Alalakh_MLBA","Hatay Province, Tell Atchana/Alalakh","Turkey",36.23778,36.38472,3773,"1896-1746 calBCE (3507±23 BP, MAMS-33677)",695869,"PASS (Xcontam=[0.005,0.013])"
"I1583_published","I1583","MathiesonNature2015","2015","/media/ydiekman/external2/Documents/__MAINZ/data/Mathieson_Nature_2015/BAM/I1583.1240k.bam","Turkey_N_published","Northwest Anatolia, Marmara, Barcın","Turkey",40.3037,29.57,8273,"6424-6233 calBCE (7460±50 BP, Poz-82231)",980249,"PASS (Xcontam=[0.009,0.013])"
"ALA008","ALA008","SkourtaniontiCell2020","2020","/media/ydiekman/external2/Documents/__MAINZ/data/Skourtanioti_Cell_2020/ALA008.1240K.bam","Turkey_Alalakh_MLBA","Hatay Province, Tell Atchana/Alalakh","Turkey",36.23778,36.38472,3752,"1881-1698 calBCE (3473±23 BP, MAMS-33678)",723288,"PASS (Xcontam=[0.009,0.017])"
